iter	Passed	Remaining
402	12083	17899
403	12123	17885
404	12158	17862
405	12190	17835
406	12219	17804
407	12251	17776
408	12282	17748
409	12312	17717
410	12339	17683
411	12374	17660
412	12399	17623
413	12426	17589
414	12469	17577
415	12501	17550
416	12529	17517
417	12554	17480
418	12582	17447
419	12621	17429
420	12663	17415
421	12700	17395
422	12734	17370
423	12766	17343
424	12797	17314
425	12832	17291
426	12870	17271
427	12906	17249
428	12941	17225
429	12971	17194
430	13007	17172
431	13049	17157
432	13084	17134
433	13119	17110
434	13153	17084
435	13188	17060
436	13231	17046
437	13267	17022
438	13310	17009
439	13344	16983
440	13377	16957
441	13410	16930
442	13446	16907
443	13487	16889
444	13521	16863
445	13549	16830
446	13575	16794
447	13606	16765
448	13640	16739
449	13671	16709
450	13701	16678
451	13734	16651
452	13764	16620
453	13793	16588
454	13821	16555
455	13847	16520
456	13873	16484
457	13906	16456
458	13935	16425
459	13962	16390
460	13989	16356
461	14016	16321
462	14045	16290
463	14075	16259
464	14106	16229
465	14135	16197
466	14169	16171
467	14212	16156
468	14238	16120
469	14267	16088
470	14302	16063
471	14336	16037
472	14364	16004
473	14396	15975
474	14423	15941
475	14455	15912
476	14483	15879
477	14513	15849
478	14549	15824
479	14580	15795
480	14606	15760
481	14634	15727
482	14661	15693
483	14689	15661
484	14719	15630
485	14749	15599
486	14781	15570
487	14810	15538
488	14833	15500
489	14858	15464
490	14888	15434
491	14918	15403
492	14950	15375
493	14981	15345
494	15011	15314
495	15038	15281
496	15068	15250
497	15097	15218
498	15125	15186
499	15154	15154
500	15186	15125
501	15219	15098
502	15248	15066
503	15278	15035
504	15308	15005
505	15339	14975
506	15376	14951
507	15410	14925
508	15441	14895
509	15469	14863
510	15498	14830
511	15525	14797
512	15555	14767
513	15587	14737
514	15618	14709
515	15652	14682
516	15677	14646
517	15703	14612
518	15730	14578
519	15761	14548
520	15793	14520
521	15829	14495
522	15865	14469
523	15898	14442
524	15931	14414
525	15982	14402
526	16017	14376
527	16051	14348
528	16080	14317
529	16113	14289
530	16149	14263
531	16184	14237
532	16220	14212
533	16259	14188
534	16296	14164
535	16333	14139
536	16363	14108
537	16397	14080
538	16435	14056
539	16472	14032
540	16522	14018
541	16553	13987
542	16580	13954
543	16615	13927
544	16651	13901
545	16682	13871
546	16709	13837
547	16736	13804
548	16764	13772
549	16792	13739
550	16823	13709
551	16856	13680
552	16881	13645
553	16918	13620
554	16945	13586
555	16970	13552
556	17000	13520
557	17030	13490
558	17060	13458
559	17104	13439
560	17131	13406
561	17158	13372
562	17197	13348
563	17228	13318
564	17261	13289
565	17293	13260
566	17322	13228
567	17352	13197
568	17378	13163
569	17403	13129
570	17434	13098
571	17465	13068
572	17498	13040
573	17530	13010
574	17559	12978
575	17587	12946
576	17621	12918
577	17656	12890
578	17688	12861
579	17720	12832
580	17750	12800
581	17778	12768
582	17804	12734
583	17833	12703
584	17862	12671
585	17890	12639
586	17918	12607
587	17945	12574
588	17972	12540
589	17999	12508
590	18047	12490
591	18092	12468
592	18121	12437
593	18153	12407
594	18190	12381
595	18220	12350
596	18251	12320
597	18279	12288
598	18306	12255
599	18336	12224
600	18367	12194
601	18398	12163
602	18436	12137
603	18470	12109
604	18505	12082
605	18542	12056
606	18577	12027
607	18613	12000
608	18646	11971
609	18676	11940
610	18707	11910
611	18735	11878
612	18764	11846
613	18799	11818
614	18828	11786
615	18855	11754
616	18882	11721
617	18910	11689
618	18938	11656
619	19004	11648
620	19041	11621
621	19079	11594
622	19117	11568
623	19154	11541
624	19188	11512
625	19221	11483
626	19249	11451
627	19281	11421
628	19319	11394
629	19353	11366
630	19388	11338
631	19431	11314
632	19470	11288
633	19508	11262
634	19547	11235
635	19586	11209
636	19620	11181
637	19649	11148
638	19682	11119
639	19720	11092
640	19757	11065
641	19787	11034
642	19816	11002
643	19845	10970
644	19874	10938
645	19902	10906
646	19933	10875
647	19965	10845
648	19992	10812
649	20021	10781
650	20064	10756
651	20089	10722
652	20120	10691
653	20156	10663
654	20186	10632
655	20214	10600
656	20248	10570
657	20275	10538
658	20301	10505
659	20331	10473
660	20363	10443
661	20391	10411
662	20416	10377
663	20446	10346
664	20473	10313
665	20502	10281
666	20535	10252
667	20567	10222
668	20594	10189
669	20624	10158
670	20650	10125
671	20681	10094
672	20715	10065
673	20747	10035
674	20776	10003
675	20804	9971
676	20830	9938
677	20857	9905
678	20885	9873
679	20913	9841
680	20943	9810
681	20979	9782
682	21007	9750
683	21035	9718
684	21063	9686
685	21091	9654
686	21123	9624
687	21167	9599
688	21197	9567
689	21237	9541
690	21262	9508
691	21289	9475
692	21321	9445
693	21353	9415
694	21382	9383
695	21408	9350
696	21443	9321
697	21470	9289
698	21498	9257
699	21529	9227
700	21561	9196
701	21596	9167
702	21651	9147
703	21693	9120
704	21728	9091
705	21762	9062
706	21797	9033
707	21835	9005
708	21870	8976
709	21901	8945
710	21930	8914
711	21959	8882
712	21990	8851
713	22012	8817
714	22036	8783
715	22075	8756
716	22102	8723
717	22133	8692
718	22174	8666
719	22213	8638
720	22243	8607
721	22276	8577
722	22329	8554
723	22366	8526
724	22403	8497
725	22432	8466
726	22464	8435
727	22493	8404
728	22525	8373
729	22562	8344
730	22601	8317
731	22641	8289
732	22676	8259
733	22710	8230
734	22749	8202
735	22780	8171
736	22815	8141
737	22850	8112
738	22884	8082
739	22918	8052
740	22971	8029
741	23002	7998
742	23031	7966
743	23057	7933
744	23082	7900
745	23109	7868
746	23137	7836
747	23167	7805
748	23198	7774
749	23225	7741
750	23263	7713
751	23290	7681
752	23320	7649
753	23352	7618
754	23385	7588
755	23415	7557
756	23444	7525
757	23472	7493
758	23497	7461
759	23525	7429
760	23557	7398
761	23591	7368
762	23625	7338
763	23652	7306
764	23680	7274
765	23707	7242
766	23733	7209
767	23764	7178
768	23797	7148
769	23835	7119
770	23863	7087
771	23891	7055
772	23916	7023
773	23943	6991
774	23975	6960
775	24023	6934
776	24050	6902
777	24083	6872
778	24115	6841
779	24142	6809
780	24174	6778
781	24204	6747
782	24232	6715
783	24259	6683
784	24286	6651
785	24315	6620
786	24344	6588
787	24386	6560
788	24419	6530
789	24445	6498
790	24473	6466
791	24500	6434
792	24524	6401
793	24563	6373
794	24599	6343
795	24631	6312
796	24660	6281
797	24686	6248
798	24714	6217
799	24746	6186
800	24778	6155
801	24811	6125
802	24844	6095
803	24874	6063
804	24905	6032
805	24949	6005
806	24988	5976
807	25020	5945
808	25051	5914
809	25077	5882
810	25102	5850
811	25130	5818
812	25165	5788
813	25200	5758
814	25230	5727
815	25257	5695
816	25283	5663
817	25312	5631
818	25340	5600
819	25374	5570
820	25408	5539
821	25451	5511
822	25486	5481
823	25515	5449
824	25543	5418
825	25587	5390
826	25624	5360
827	25657	5329
828	25692	5299
829	25728	5269
830	25760	5238
831	25795	5208
832	25833	5179
833	25899	5155
834	25935	5125
835	25966	5093
836	25999	5063
837	26037	5033
838	26070	5002
839	26103	4972
840	26137	4941
841	26180	4912
842	26216	4882
843	26250	4852
844	26279	4820
845	26301	4787
846	26326	4755
847	26353	4723
848	26385	4692
849	26417	4661
850	26448	4630
851	26477	4599
852	26504	4567
853	26533	4536
854	26560	4504
855	26594	4473
856	26626	4442
857	26667	4413
858	26695	4381
859	26723	4350
860	26752	4318
861	26785	4288
862	26819	4257
863	26852	4226
864	26880	4195
865	26912	4164
866	26940	4132
867	26969	4101
868	27002	4070
869	27033	4039
870	27065	4008
871	27095	3977
872	27124	3945
873	27151	3914
874	27177	3882
875	27206	3851
876	27239	3820
877	27272	3789
878	27301	3758
879	27329	3726
880	27353	3694
881	27388	3664
882	27420	3633
883	27451	3602
884	27480	3570
885	27507	3539
886	27533	3507
887	27560	3476
888	27587	3444
889	27619	3413
890	27650	3382
891	27682	3351
892	27711	3320
893	27738	3288
894	27766	3257
895	27797	3226
896	27826	3195
897	27854	3163
898	27884	3132
899	27911	3101
900	27940	3069
901	27968	3038
902	28004	3008
903	28040	2977
904	28080	2947
905	28115	2917
906	28150	2886
907	28194	2856
908	28222	2825
909	28252	2794
910	28280	2762
911	28307	2731
912	28334	2700
913	28360	2668
914	28390	2637
915	28424	2606
916	28456	2575
917	28486	2544
918	28518	2513
919	28551	2482
920	28585	2451
921	28641	2422
922	28678	2392
923	28710	2361
924	28745	2330
925	28778	2299
926	28810	2268
927	28845	2237
928	28880	2207
929	28923	2177
930	28961	2146
931	28994	2115
932	29032	2084
933	29068	2054
934	29102	2023
935	29136	1992
936	29169	1961
937	29199	1930
938	29234	1899
939	29273	1868
940	29311	1837
941	29343	1806
942	29371	1775
943	29398	1743
944	29426	1712
945	29463	1681
946	29495	1650
947	29524	1619
948	29550	1588
949	29576	1556
950	29603	1525
951	29634	1494
952	29667	1463
953	29711	1432
954	29736	1401
955	29763	1369
956	29790	1338
957	29816	1307
958	29847	1276
959	29880	1245
960	29907	1213
961	29941	1182
962	29977	1151
963	30005	1120
964	30034	1089
965	30069	1058
966	30101	1027
967	30129	996
968	30159	964
969	30186	933
970	30214	902
971	30244	871
972	30274	840
973	30302	808
974	30330	777
975	30361	746
976	30388	715
977	30418	684
978	30451	653
979	30483	622
980	30512	590
981	30539	559
982	30569	528
983	30602	497
984	30628	466
985	30654	435
986	30682	404
987	30717	373
988	30750	342
989	30780	310
990	30811	279
991	30842	248
992	30877	217
993	30908	186
994	30937	155
995	30965	124
996	31008	93
997	31036	62
998	31066	31
999	31095	0
